action,actor,category,condition,confidence,counter,expected_result,phase,purpose,risk,rule_id,source_class,target,trigger
straight_run,ball_playing_gk,MOVEMENT,defensive_response_available_is_press_immediately,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,ball_playing_gk gains separation or space value in Z5,defensive_transition,execute a straight run from Z7 to manipulate marker positioning toward Z5,mistimed execution allows the defender to recover before the movement completes,MV00064,C,Z5,ball_playing_gk_positioned_in_Z7
pin,ball_playing_cb,MOVEMENT,defensive_response_available_is_hold_shape,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,ball_playing_cb gains separation or space value in Z15,set_piece,execute a pin from Z20 to manipulate marker positioning toward Z15,mistimed execution allows the defender to recover before the movement completes,MV00065,C,Z15,ball_playing_cb_positioned_in_Z20
pin,segundo_volante,MOVEMENT,defensive_response_available_is_shift_across,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,segundo_volante gains separation or space value in Z25,set_piece,execute a pin from Z1 to manipulate marker positioning toward Z25,mistimed execution allows the defender to recover before the movement completes,MV00066,C,Z25,segundo_volante_positioned_in_Z1
curved_run,target_man,MOVEMENT,defensive_response_available_is_double_team,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,target_man gains separation or space value in Z13,attacking_organisation,execute a curved run from Z29 to manipulate marker positioning toward Z13,mistimed execution allows the defender to recover before the movement completes,MV00067,C,Z13,target_man_positioned_in_Z29
dummy_run,shadow_striker,MOVEMENT,defensive_response_available_is_drop_off,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,shadow_striker gains separation or space value in Z10,set_piece,execute a dummy run from Z12 to manipulate marker positioning toward Z10,mistimed execution allows the defender to recover before the movement completes,MV00068,C,Z10,shadow_striker_positioned_in_Z12
pin,regista,MOVEMENT,defensive_response_available_is_recover_goal_side,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,regista gains separation or space value in Z29,set_piece,execute a pin from Z20 to manipulate marker positioning toward Z29,mistimed execution allows the defender to recover before the movement completes,MV00069,C,Z29,regista_positioned_in_Z20
diagonal_run,carrilero,MOVEMENT,defensive_response_available_is_recover_goal_side,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,carrilero gains separation or space value in Z17,offensive_transition,execute a diagonal run from Z4 to manipulate marker positioning toward Z17,mistimed execution allows the defender to recover before the movement completes,MV00070,C,Z17,carrilero_positioned_in_Z4
pin,cover_defender,MOVEMENT,defensive_response_available_is_shift_across,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,cover_defender gains separation or space value in Z8,attacking_organisation,execute a pin from Z29 to manipulate marker positioning toward Z8,mistimed execution allows the defender to recover before the movement completes,MV00071,C,Z8,cover_defender_positioned_in_Z29
vacate,destroyer,MOVEMENT,defensive_response_available_is_hand_over_marking,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,destroyer gains separation or space value in Z1,set_piece,execute a vacate from Z5 to manipulate marker positioning toward Z1,mistimed execution allows the defender to recover before the movement completes,MV00072,C,Z1,destroyer_positioned_in_Z5
occupy,target_man,MOVEMENT,defensive_response_available_is_press_immediately,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,target_man gains separation or space value in Z22,defensive_organisation,execute a occupy from Z24 to manipulate marker positioning toward Z22,mistimed execution allows the defender to recover before the movement completes,MV00073,C,Z22,target_man_positioned_in_Z24
spin,trequartista,MOVEMENT,defensive_response_available_is_drop_off,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,trequartista gains separation or space value in Z15,attacking_organisation,execute a spin from Z2 to manipulate marker positioning toward Z15,mistimed execution allows the defender to recover before the movement completes,MV00074,C,Z15,trequartista_positioned_in_Z2
drop,complete_forward,MOVEMENT,defensive_response_available_is_hold_shape,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,complete_forward gains separation or space value in Z24,defensive_organisation,execute a drop from Z30 to manipulate marker positioning toward Z24,mistimed execution allows the defender to recover before the movement completes,MV00075,C,Z24,complete_forward_positioned_in_Z30
diagonal_run,inverted_winger,MOVEMENT,defensive_response_available_is_drop_off,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,inverted_winger gains separation or space value in Z3,attacking_organisation,execute a diagonal run from Z11 to manipulate marker positioning toward Z3,mistimed execution allows the defender to recover before the movement completes,MV00076,C,Z3,inverted_winger_positioned_in_Z11
overlap,target_man,MOVEMENT,defensive_response_available_is_double_team,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,target_man gains separation or space value in Z11,attacking_organisation,execute a overlap from Z18 to manipulate marker positioning toward Z11,mistimed execution allows the defender to recover before the movement completes,MV00077,C,Z11,target_man_positioned_in_Z18
pin,cover_defender,MOVEMENT,defensive_response_available_is_double_team,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,cover_defender gains separation or space value in Z24,offensive_transition,execute a pin from Z10 to manipulate marker positioning toward Z24,mistimed execution allows the defender to recover before the movement completes,MV00078,C,Z24,cover_defender_positioned_in_Z10
pin,segundo_volante,MOVEMENT,defensive_response_available_is_hand_over_marking,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,segundo_volante gains separation or space value in Z17,defensive_organisation,execute a pin from Z29 to manipulate marker positioning toward Z17,mistimed execution allows the defender to recover before the movement completes,MV00079,C,Z17,segundo_volante_positioned_in_Z29
occupy,wide_cb,MOVEMENT,defensive_response_available_is_press_immediately,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,wide_cb gains separation or space value in Z5,attacking_organisation,execute a occupy from Z6 to manipulate marker positioning toward Z5,mistimed execution allows the defender to recover before the movement completes,MV00080,C,Z5,wide_cb_positioned_in_Z6
